SMILES,Lab,RT
Cc1nnc2n1-c1ccc(Br)cc1C(c1ccccc1)=NC2,Aarhus,6.08
c1ccc(CN2CCN(Cc3ccccc3)CC2)cc1,Aarhus,4.04
CC1CNC(C)C(c2ccccc2)O1,Aarhus,2.95
CN(C)C1(c2ccc(Br)cc2)CCC(O)(CCc2ccccc2)CC1,Aarhus,5.18
CCCCC(=O)n1cc2c3c(cccc31)C1=CC(C(=O)N(CC)CC)CN(C)C1C2,Aarhus,5.69
CCCCCn1cc(C(=O)NC(C)(C)c2ccccc2)c2ccccc21,Aarhus,7.97
CNC(C)Cc1ccc2c(c1)CCC2,Aarhus,4.83
COC(=O)C(NC(=O)c1cn(CC2CCCCC2)c2ccccc12)C(C)C,Aarhus,7.87
O=C(NN=C1C(=O)N(CCCCCF)c2ccccc21)c1ccccc1,Aarhus,7.29
CCC(Cc1ccc2occc2c1)NC,Aarhus,4.64
CCNC1(c2cccc(OC)c2)CCCCC1,Aarhus,4.86
CNC(C)C(=O)c1cccc(Cl)c1,Aarhus,3.28
FC1(F)Oc2ccc(CN3CCNCC3)cc2O1,Aarhus,3.51
CCOc1ccc(Cc2nc3ccccc3n2CCN(CC)CC)cc1,Aarhus,3.71
CC(C)CCNc1ncccc1C(=O)N1CCN(Cc2ccccc2)CC1,Aarhus,3.97
NC(=O)C(Cc1ccccc1)NC(=O)c1nn(CC2CCCCC2)c2ccccc12,Aarhus,7.42
CCCCCn1nc(C(=O)c2cccc3ccccc23)c2ccccc21,Aarhus,8.68
O=[N+]([O-])c1ccc(CCN2CCCCC2=NS(=O)(=O)c2ccc(Cl)cc2)cc1,Aarhus,7.12
O=C(NC12CC3CC(CC(C3)C1)C2)c1cn(CCCCCF)c2ccccc12,Aarhus,8.11
COc1cc(Br)c(CCN)cc1OC,Aarhus,3.3
CC(C)(C)C(NC(=O)c1cn(CC2CCCCC2)c2ccccc12)C(N)=O,Aarhus,7.27
O=C(NC12CC3CC(CC(C3)C1)C2)c1nn(CC2CCOCC2)c2ccccc12,Aarhus,8.14
CCC(=O)N(c1ccccc1F)C1CCN(CCc2ccccc2)CC1,Aarhus,5.24
Cc1oc2nc3c(c(NC(=O)CN4CCCC4=O)c2c1C)CCCC3,Aarhus,5.17
CCN(CC)C(=O)C1C=C2c3cccc4c3c(cn4C(=O)C3CC3)CC2N(C)C1,Aarhus,5.38
COc1cc(CC(C)N)c(OC)cc1F,Aarhus,3.76
CCCCC(C(=O)c1ccc(F)cc1)N1CCCC1,Aarhus,5.07
CCN(CC)CCc1c[nH]c2cccc(OC(C)=O)c12,Aarhus,3.87
CCCCC(C(=O)c1ccc2c(c1)CCC2)N1CCCC1,Aarhus,5.69
CC(C)(NC(=O)c1cn(CCCCCF)c2ccccc12)c1ccccc1,Aarhus,7.47
COCC(=O)N(c1ccccc1F)C1CCN(CCc2ccccc2)CC1,Aarhus,4.83
CCCCCCC(C(=O)c1ccc(F)cc1)N1CCCC1,Aarhus,5.74
O=C(NC12CC3CC(CC(C3)C1)C2)c1nn(Cc2ccc(F)cc2)c2ccccc12,Aarhus,8.65
COc1cc(CCNCc2ccccc2F)c(OC)cc1Cl,Aarhus,5.45
CCCCC(C(=O)c1ccc2c(c1)OCO2)N1CCCC1,Aarhus,4.96
CCOC(=O)C(c1ccc(F)cc1)C1CCCCN1,Aarhus,4.81
CCCC(C(=O)c1ccc2c(c1)CCCC2)N1CCCC1,Aarhus,5.72
COc1cc(C(C)C)c(OC)cc1CC(C)N,Aarhus,5.4
CCN(CC)CCn1c(Cc2ccc(F)cc2)nc2cc([N+](=O)[O-])ccc21,Aarhus,5.01
O=C(c1ccc2c(c1)OCO2)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,Aarhus,5.47
CCCC(C(=O)c1ccc2c(c1)CCO2)N1CCCC1,Aarhus,4.69
CCC(=O)N(c1ccc(Br)cc1)C1CCN(CCc2ccccc2)CC1,Aarhus,5.48
O=C(O)CCCCn1nc(C(=O)NC23CC4CC(CC(C4)C2)C3)c2ccccc21,Academy_of_Forensic_Science,10.25
CC(C)C(NC(=O)c1cc(-c2ccc(F)cc2)n(CC2CCCCC2)n1)C(N)=O,Academy_of_Forensic_Science,9.98
COC(=O)C(OC(=O)c1nn(CC2CCCCC2)c2ccccc12)C(C)(C)C,Academy_of_Forensic_Science,13.39
CC(C)(NC(=O)c1nn(CCCCC#N)c2ccccc12)c1ccccc1,Academy_of_Forensic_Science,9.16
CCNC(=O)C(NC(=O)c1nn(Cc2ccc(F)cc2)c2ccccc12)C(C)(C)C,Academy_of_Forensic_Science,8.55
O=C(NCC1CC1)c1cn(CCCCCF)c2ccccc12,Academy_of_Forensic_Science,5.52
CC(C)(O)CCn1c(=O)n(C(=O)NC(C(N)=O)C(C)(C)C)c2ccccc21,Academy_of_Forensic_Science,5.03
O=C(c1cccc2ccccc12)c1cn(CCCCCF)c2cc([N+](=O)[O-])ccc12,Academy_of_Forensic_Science,10.47
COc1ccccc1CC(=O)c1cn(CCCC(C)O)c2ccccc12,Academy_of_Forensic_Science,5.59
CCCCCn1cc(C(=O)NC23CC4CC(CC(C4)C2)C3)c2ccccc21,Academy_of_Forensic_Science,13.95
CC(C)C(NC(=O)c1cn(Cc2ccc(F)cc2)c2ncccc12)C(N)=O,Academy_of_Forensic_Science,4.81
COC(=O)C(NC(=O)c1nn(CCCCCO)c2ccccc12)C(C)C,Academy_of_Forensic_Science,5.18
O=C(Nc1cccc2ccccc12)c1nn(CCCCCF)c2ccccc12,Academy_of_Forensic_Science,10.65
O=C(NC12CC3CC(CC(C3)C1)C2)c1cn(CCCCCF)c2ccccc12,Academy_of_Forensic_Science,12.12
Cc1ccc(C(=O)c2cn(CCCCCO)c3ccccc23)c2ccccc12,Academy_of_Forensic_Science,8.04
Cn1cc(C(=O)Cc2cccc3ccccc23)c2ccccc21,Academy_of_Forensic_Science,7.02
CC(C)(NC(=O)C1=NC(CCCCCF)c2ccccc21)c1ccccc1,Academy_of_Forensic_Science,8.17
CC(C)(NC(=O)c1cn(CCCCC(=O)O)c2ccccc12)c1ccccc1,Academy_of_Forensic_Science,5.86
O=C(c1cn(CCCCCF)c2ccccc12)N1CCCC1,Academy_of_Forensic_Science,5.41
CC(O)CCCn1cc(C(=O)C2C(C)(C)C2(C)C)c2ccccc21,Academy_of_Forensic_Science,8.33
CN1CCCCC1Cn1cc(C(=O)c2ccccc2I)c2ccccc21,Academy_of_Forensic_Science,3.56
CCCCCn1cc(C(=O)c2cccc3ccccc23)cc1-c1cccc2ccccc12,Academy_of_Forensic_Science,14.86
CC(C)(C)C(NC(=O)c1cn(Cc2ccccc2)c2ccccc12)C(N)=O,Academy_of_Forensic_Science,6.84
CCCCCn1cc(C(=O)c2ccc(OC)cc2)c2ccccc21,Academy_of_Forensic_Science,10.69
CCCCCn1cc(C(=O)Cc2cccc3ccccc23)c2ccccc21,Academy_of_Forensic_Science,12.73
CC1(C)C(C(=O)c2cn(CCCC(O)CF)c3ccccc23)C1(C)C,Academy_of_Forensic_Science,7.54
COC(=O)C(Cc1ccccc1)NC(=O)c1cn(CCCCCF)c2ccccc12,Academy_of_Forensic_Science,7.42
CC(C)C(NC(=O)c1nn(Cc2ccc(F)cc2)c2ccccc12)C(N)=O,Academy_of_Forensic_Science,5.83
O=C(O)c1nn(CCCCCF)c2ccccc12,Academy_of_Forensic_Science,4.37
CC(C)(C)C(NC(=O)c1nn(Cc2ccc(F)cc2)c2ccccc12)C(N)=O,Academy_of_Forensic_Science,7.05
CCCCCn1c2ccccc2c2c(=O)n(C(C)(C)c3ccccc3)ccc21,Academy_of_Forensic_Science,11.58
NC(=O)C(Cc1ccccc1)NC(=O)c1nn(CCCCCF)c2ccccc12,Academy_of_Forensic_Science,5.98
CCCCCOc1ccc(C(=O)c2cccc3ccccc23)c2ccccc12,Academy_of_Forensic_Science,15.25
CC(C(=O)O)C(NC(=O)c1nn(CC2CCCCC2)c2ccccc12)C(=O)O,Academy_of_Forensic_Science,7.15
CCCCCCn1ccc(C(=O)c2cccc3ccccc23)c1,Academy_of_Forensic_Science,11.68
CCCCn1cc(C(=O)c2ccc(OC)c3ccccc23)c2ccccc21,Academy_of_Forensic_Science,11.92
CCn1cc(-c2ccc3ccccc3c2C=O)c2ccccc21,Academy_of_Forensic_Science,7.66
COC(=O)C(NC(=O)c1cn(CC2CCCCC2)c2ccccc12)C(C)(C)C,Academy_of_Forensic_Science,12.5
CCCCCn1cc(C(=O)c2cccc3ccccc23)cc1-c1ccccc1F,Academy_of_Forensic_Science,13.52
COC(=O)C(NC(=O)c1nn(Cc2ccc(F)cc2)c2ccccc12)C(C)C,Academy_of_Forensic_Science,8.23
CN(C)C1(CNC(=O)c2ccc(Cl)c(Cl)c2)CCCCC1,Academy_of_Forensic_Science,3.71
CCCCCn1nc(C(=O)NC(C(=O)OC)C(C)C)c2ccccc21,Academy_of_Forensic_Science,10.45
CCCCCn1cc(C(=O)NC(Cc2ccccc2)C(N)=O)c2ccccc21,Academy_of_Forensic_Science,8.35
CC(C)C(NC(=O)c1cn(Cc2ccccc2)c2ccccc12)C(N)=O,Academy_of_Forensic_Science,5.63
O=C(c1cccc2ccccc12)c1nn(CCCCCCl)c2ccccc12,Academy_of_Forensic_Science,12.45
CCCCCn1nc(C(=O)Oc2cccc3ccccc23)c2ccccc21,Academy_of_Forensic_Science,13.69
CC(C)(NC(=O)c1cn(CCCCCF)c2ccccc12)c1ccc(F)cc1,Academy_of_Forensic_Science,8.27
COc1cccc2c(C(=O)NC3C4(C)CCC(C4)C3(C)C)cn(CCN3CCOCC3)c12,Academy_of_Forensic_Science,6.01
CC(C)C(NC(=O)c1nn(CCCCCF)c2ccccc12)C(=O)O,Academy_of_Forensic_Science,6.14
COC(=O)C(NC(=O)c1nn(CCCCCF)c2ccccc12)C(C)C,Academy_of_Forensic_Science,7.24
CCc1ccc(C(=O)c2cn(CCCCCF)c3ccccc23)c2ccccc12,Academy_of_Forensic_Science,12.04
O=C(C1=CN(CCCCCF)C2C=CC=CC12)c1ccc(Cl)c2ccccc12,Academy_of_Forensic_Science,12.28
CCOC(=O)C(NC(=O)c1nn(CCCCCF)c2ccccc12)C(C)C,Academy_of_Forensic_Science,8.57
O=C(O)c1cn(CC2CCCCC2)c2ccccc12,Academy_of_Forensic_Science,8.88
CC(C)(C)C(NC(=O)c1cn(CCCCC(=O)O)c2ccccc12)C(N)=O,Academy_of_Forensic_Science,4.45
CC(C(=O)O)C(NC(=O)c1nn(CC2CCCCC2)c2ccccc12)C(N)=O,Academy_of_Forensic_Science,6.73
O=C(c1cccc2ccccc12)c1cn(CCCCCF)c2ccccc12,Academy_of_Forensic_Science,9.39
CN1CCCCC1Cn1cc(C(=O)C2C(C)(C)C2(C)C)c2ccccc21,Academy_of_Forensic_Science,4.65
O=C(c1cccc2ccccc12)c1cn(CCCCCCO)c2ccccc12,Academy_of_Forensic_Science,7.82
CC(C)C(NC(=O)c1nn(CCCC(O)CF)c2ccccc12)C(N)=O,Academy_of_Forensic_Science,3.79
COC(=O)C(NC(=O)c1nn(CCCCC(=O)O)c2ccccc12)C(C)C,Academy_of_Forensic_Science,5.02
O=C(NC12CC3CC(CC(C3)C1)C2)c1cn(CCCCCF)c2ncccc12,Academy_of_Forensic_Science,10.01
CCCCCn1cc(C(=O)Cc2ccccc2OC)c2ccccc21,Academy_of_Forensic_Science,10.93
O=C(C1=NC2C=CC=CC2N1CCCCCO)c1cccc2ccccc12,Academy_of_Forensic_Science,6.86
O=C(Oc1cccc2cccnc12)c1cn(CCCCCF)c2ncccc12,Academy_of_Forensic_Science,6.13
CCCCCn1cc(C(=O)C2C(C)(C)C2(C)C)c2ccccc21,Academy_of_Forensic_Science,13.58
COC(=O)C(NC(=O)c1cn(CCCCCF)c2ncccc12)C(C)(C)C,Academy_of_Forensic_Science,6.11
CC(C)C(NC(=O)c1cn(CCCCCF)c2ccccc12)C(N)=O,Academy_of_Forensic_Science,5.07
CCCCCn1c(CC)c(C(=O)c2cccc3ccccc23)c2ccccc21,Academy_of_Forensic_Science,13.89
COC(=O)C(NC(=O)c1ccc2c(c1)c1ccccc1n2CC1CCCCC1)C(C)(C)C,Academy_of_Forensic_Science,14.31
CCCCCCn1cc(C(=O)c2cccc3ccccc23)cc1-c1ccccc1,Academy_of_Forensic_Science,14.42
COC(=O)C(NC(=O)c1nn(CCCCF)c2ccccc12)C(C)(C)C,Academy_of_Forensic_Science,7.54
COC(=O)C(NC(=O)c1nn(CC2CCCCC2)c2ccccc12)C(C)(C)C,Academy_of_Forensic_Science,13.31
COC(=O)C(NC(=O)c1nn(Cc2ccc(F)cc2)c2ccccc12)C(C)(C)C,Academy_of_Forensic_Science,9.76
COC(=O)C(NC(=O)c1cn(CCCCCO)c2ccccc12)C(C)(C)C,Academy_of_Forensic_Science,5.94
CC(O)CCCn1cc(C(=O)NC(C(N)=O)C(C)(C)C)c2ccccc21,Academy_of_Forensic_Science,4.6
O=C(Nc1cccc2ccccc12)c1cn(CCCCCCl)c2ccccc12,Academy_of_Forensic_Science,9.39
COC(=O)C(NC(=O)c1nn(CCCCCO)c2ccccc12)C(C)(C)C,Academy_of_Forensic_Science,6.15
CCCCCn1c(C)c(C(=O)c2ccc(CC)c3ccccc23)c2ccccc21,Academy_of_Forensic_Science,14.44
COC(=O)C(NC(=O)c1cn(CCCCCF)c2ccccc12)C(C)C,Academy_of_Forensic_Science,6.51
CC(C)C(NC(=O)c1nn(CCCCC(=O)O)c2ccccc12)C(N)=O,Academy_of_Forensic_Science,3.93
CC(C)C(NC(=O)c1nn(CCCCCCl)c2ccccc12)C(N)=O,Academy_of_Forensic_Science,6.44
CCCCCn1cc(C(=O)c2ccc(C)c3ccccc23)c2ccccc21,Academy_of_Forensic_Science,13.58
COc1ccccc1CC(=O)c1cn(CCC2CCCCC2)c2ccccc12,Academy_of_Forensic_Science,13.82
CCCCCn1cc(C(=O)c2cccc3ccccc23)cc1-c1ccccc1Cl,Academy_of_Forensic_Science,14.03
CC(C)(C)C(NC(=O)c1nn(CCCCF)c2ccccc12)C(=O)O,Academy_of_Forensic_Science,6.28
CC(C)C(NC(=O)c1nn(Cc2ccc(F)cc2)c2ccccc12)C(=O)O,Academy_of_Forensic_Science,6.99
CCCCCn1cc(C(=O)NC(C(N)=O)C(C)(C)C)c2ccccc21,Academy_of_Forensic_Science,8.87
C=CCCn1nc(C(=O)NC(C(=O)OC)C(C)(C)C)c2ccccc21,Academy_of_Forensic_Science,8.67
C=CCCCn1cc(C(=O)NC(C(=O)OC)C(C)C)c2ccccc21,Academy_of_Forensic_Science,7.88
O=C(Nc1ccccc1)c1cn(CCCCCF)c2ccccc12,Academy_of_Forensic_Science,6.49
O=C(O)CCCCn1cc(C(=O)Oc2cccc3cccnc23)c2ccccc21,Academy_of_Forensic_Science,5.24
O=C(NC12CC3CC(CC(C3)C1)C2)c1nn(CCCCCO)c2ccccc12,Academy_of_Forensic_Science,10.58
CCCCCn1c(C)c(C(=O)c2cccc3ccccc23)c2ccccc21,Academy_of_Forensic_Science,13.09
CC(C)C(NC(=O)c1cn(CC2CCCCC2)c2ccccc12)C(N)=O,Academy_of_Forensic_Science,9.02
CCCC(F)Cn1cc(C(=O)Nc2cccc3ccccc23)c2ccccc21,Academy_of_Forensic_Science,8.69
